id,direction,entry_time,exit_time,entry_price,exit_price,size,fee,pnl,reason,fs,tr
37,long,2025-02-13T15:00:00+00:00,2025-02-14T05:30:00+00:00,2644.0,2689.0830234754376,2.0706,4.4171,88.9318,SL,-1.9356,-1.9572
38,long,2025-02-14T13:30:00+00:00,2025-02-14T19:30:00+00:00,2699.78,2739.9297078163877,2.1267,4.6275,80.7589,SL,-1.0076,-1.0741
39,long,2025-02-16T04:30:00+00:00,2025-02-16T15:30:00+00:00,2702.42,2692.96,2.2143,4.7788,-25.7261,Replace,-0.3512,-0.6457
40,long,2025-02-16T15:30:00+00:00,2025-02-16T23:00:00+00:00,2692.96,2657.080615224393,2.1934,4.6939,-83.3918,SL,-0.4944,-0.4978
41,long,2025-02-17T05:30:00+00:00,2025-02-17T15:30:00+00:00,2669.98,2793.9381113710224,2.1185,4.6301,257.9751,SL,-1.1185,-1.1509
42,long,2025-02-18T14:00:00+00:00,2025-02-18T15:30:00+00:00,2717.97,2659.8086418712046,2.3659,5.0893,-142.6933,SL,1.4912,1.2498
43,long,2025-02-19T15:30:00+00:00,2025-02-20T05:30:00+00:00,2695.59,2728.4923495768335,2.2267,4.8311,68.4325,SL,-1.4916,-1.52
44,short,2025-02-21T00:30:00+00:00,2025-02-21T09:00:00+00:00,2734.16,2778.1634490847573,2.2704,5.0061,-104.9115,SL,-0.4743,-0.4701
45,long,2025-02-21T10:00:00+00:00,2025-02-21T15:30:00+00:00,2797.62,2742.9421694065463,2.1064,4.6683,-119.8416,SL,1.5036,1.2596
46,long,2025-02-22T09:00:00+00:00,2025-02-22T18:30:00+00:00,2705.0,2759.377863793878,2.0456,4.4712,106.7642,SL,1.4715,1.4034
47,long,2025-02-23T04:30:00+00:00,2025-02-23T08:30:00+00:00,2761.3,2800.4596066660724,2.1199,4.7161,78.2983,SL,-1.797,-1.956
48,long,2025-02-23T13:00:00+00:00,2025-02-24T03:00:00+00:00,2802.61,2750.5065602741774,2.1725,4.8257,-118.0204,SL,-0.5831,-0.9035
